Year,Name,G,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SB,CS,E,WPA,cWPA,OPP,,,,,,,
1932,Johnny Allen,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,Cubs,,,,,,,
1932,Samuel Byrd,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,Cubs,,,,,,,
1932,Ben Chapman,4,17,1,5,2,0,0,6,2,4,0.294,0.368,0.412,0.78,0,1,0,0.1,0.033,Cubs,,,,,,,
1932,Earle Combs,4,16,8,6,1,0,1,4,4,3,0.375,0.5,0.625,1.125,0,0,0,0.3,0.041,Cubs,,,,,,,
1932,Frankie Crosetti,4,15,2,2,1,0,0,0,2,3,0.133,0.235,0.2,0.435,0,0,4,-0.12,-0.021,Cubs,,,,,,,
1932,Bill Dickey,4,16,2,7,0,0,0,4,2,1,0.438,0.526,0.438,0.964,0,1,0,0.24,0.076,Cubs,,,,,,,
1932,Lou Gehrig,4,17,9,9,1,0,3,8,2,1,0.529,0.6,1.118,1.718,0,0,1,0.83,0.191,Cubs,,,,,,,
1932,Lefty Gomez,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.04,-0.011,Cubs,,,,,,,
1932,Myril Hoag,1,0,1,0,0,0,0,0,0,0,,,,,0,0,,0,0.000,Cubs,,,,,,,
1932,Tony Lazzeri,4,17,4,5,0,0,2,5,2,1,0.294,0.368,0.647,1.015,0,0,1,0.01,-0.032,Cubs,,,,,,,
1932,Wilcy Moore,1,3,0,1,0,0,0,0,0,2,0.333,0.333,0.333,0.667,0,0,0,-0.01,0.000,Cubs,,,,,,,
1932,Herb Pennock,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,Cubs,,,,,,,
1932,George Pipgras,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-0.13,-0.036,Cubs,,,,,,,
1932,Red Ruffing,2,4,0,0,0,0,0,0,1,1,0,0.2,0,0.2,0,0,0,-0.07,-0.021,Cubs,,,,,,,
1932,Babe Ruth,4,15,6,5,0,0,2,6,4,3,0.333,0.5,0.733,1.233,0,0,1,0.22,0.083,Cubs,,,,,,,
1932,Joe Sewell,4,15,4,5,1,0,0,3,4,0,0.333,0.5,0.4,0.9,0,0,1,0.3,0.046,Cubs,,,,,,,
1936,Frankie Crosetti,6,26,5,7,2,0,0,3,3,5,0.269,0.345,0.346,0.691,0,0,2,0.15,0.033,NY Giants,,,,,,,
1936,Bill Dickey,6,25,5,3,0,0,1,5,3,4,0.12,0.214,0.24,0.454,0,0,1,-0.39,-0.107,NY Giants,,,,,,,
1936,Joe DiMaggio,6,26,3,9,3,0,0,3,1,3,0.346,0.37,0.462,0.832,0,0,1,-0.31,-0.079,NY Giants,,,,,,,
1936,Lou Gehrig,6,24,5,7,1,0,2,7,3,2,0.292,0.393,0.583,0.976,0,1,0,-0.01,0.020,NY Giants,,,,,,,
1936,Lefty Gomez,2,8,1,2,0,0,0,3,0,3,0.25,0.25,0.25,0.5,0,0,0,0.04,0.033,NY Giants,,,,,,,
1936,Bump Hadley,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.05,-0.018,NY Giants,,,,,,,
1936,Roy Johnson,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,-0.04,-0.010,NY Giants,,,,,,,
1936,Tony Lazzeri,6,20,4,5,0,0,1,7,4,4,0.25,0.375,0.4,0.775,0,0,0,0.21,0.111,NY Giants,,,,,,,
1936,Pat Malone,2,1,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0.07,0.019,NY Giants,,,,,,,
1936,Johnny Murphy,1,2,1,1,0,0,0,1,0,1,0.5,0.5,0.5,1,0,0,0,-0.02,-0.013,NY Giants,,,,,,,
1936,Monte Pearson,1,4,0,2,1,0,0,0,0,0,0.5,0.5,0.75,1.25,0,0,0,-0.01,-0.002,NY Giants,,,,,,,
1936,Jake Powell,6,22,8,10,1,0,1,5,4,4,0.455,0.538,0.636,1.175,1,1,0,0.29,0.113,NY Giants,,,,,,,
1936,Red Rolfe,6,25,5,10,0,0,0,4,3,1,0.4,0.464,0.4,0.864,0,1,1,0.3,0.121,NY Giants,,,,,,,
1936,Red Ruffing,3,5,0,0,0,0,0,0,1,2,0,0.167,0,0.167,0,0,0,-0.31,-0.103,NY Giants,,,,,,,
1936,Bob Seeds,1,0,0,0,0,0,0,0,0,0,,,,,0,1,,-0.12,-0.038,NY Giants,,,,,,,
1936,George Selkirk,6,24,6,8,0,1,2,3,4,4,0.333,0.429,0.667,1.095,0,1,1,0.07,0.041,NY Giants,,,,,,,
1937,Ivy Andrews,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.01,-0.001,NY Giants,,,,,,,
1937,Frankie Crosetti,5,21,2,1,0,0,0,0,3,2,0.048,0.167,0.048,0.214,0,0,0,-0.2,-0.039,NY Giants,,,,,,,
1937,Bill Dickey,5,19,3,4,0,1,0,3,2,2,0.211,0.286,0.316,0.602,0,0,0,-0.09,-0.013,NY Giants,,,,,,,
1937,Joe DiMaggio,5,22,2,6,0,0,1,4,0,3,0.273,0.273,0.409,0.682,0,0,0,0.11,0.029,NY Giants,,,,,,,
1937,Lou Gehrig,5,17,4,5,1,1,1,3,5,4,0.294,0.455,0.647,1.102,0,0,0,0.08,0.024,NY Giants,,,,,,,
1937,Lefty Gomez,2,6,2,1,0,0,0,1,2,1,0.167,0.375,0.167,0.542,0,0,0,0.04,0.014,NY Giants,,,,,,,
1937,Bump Hadley,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1937,Myril Hoag,5,20,4,6,1,0,1,2,0,1,0.3,0.3,0.5,0.8,0,0,0,0,-0.001,NY Giants,,,,,,,
1937,Tony Lazzeri,5,15,3,6,0,1,1,2,3,3,0.4,0.526,0.733,1.26,0,0,0,0.27,0.079,NY Giants,,,,,,,
1937,Johnny Murphy,1,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.000,NY Giants,,,,,,,
1937,Monte Pearson,1,3,0,0,0,0,0,0,1,1,0,0.25,0,0.25,0,0,0,-0.01,-0.004,NY Giants,,,,,,,
